ДАТА,НУМЕРАЦІЙНИЙ КОД,ПОЗНАЧЕННЯ,ОБЄДНАННЯ,ВАЛЮТА,КУРС
27.05.2024,036,AUD,1,Австралійський долар,"26,5323"
27.05.2024,944,AZN,1,Азербайджанський манат,"23,6097"
27.05.2024,933,BYN,1,Білоруський рубль,"14,5810"
27.05.2024,975,BGN,1,Болгарський лев,"22,2196"
27.05.2024,410,KRW,100,Вона,"2,9299"
27.05.2024,344,HKD,1,Гонконгівський долар,"5,1351"
27.05.2024,208,DKK,1,Данська крона,"5,8289"
27.05.2024,840,USD,1,Долар США,"40,1153"
27.05.2024,978,EUR,1,Євро,"43,4910"
27.05.2024,818,EGP,1,Єгипетський фунт,"0,8509"
27.05.2024,392,JPY,10,Єна,"2,5545"
27.05.2024,985,PLN,1,Злотий,"10,2168"
27.05.2024,356,INR,10,Індійська рупія,"4,8274"
27.05.2024,124,CAD,1,Канадський долар,"29,2535"
27.05.2024,484,MXN,1,Мексиканське песо,"2,4043"
27.05.2024,498,MDL,1,Молдовський лей,"2,2619"
27.05.2024,376,ILS,1,Новий ізраїльський шекель,"10,9294"
27.05.2024,554,NZD,1,Новозеландський долар,"24,5064"
27.05.2024,578,NOK,1,Норвезька крона,"3,7826"
27.05.2024,710,ZAR,1,Ренд,"2,1804"
27.05.2024,643,RUB,10,Російський рубль,"4,4807"
27.05.2024,946,RON,1,Румунський лей,"8,7428"
27.05.2024,360,IDR,1000,Рупія,"2,5060"
27.05.2024,702,SGD,1,Сінгапурський долар,"29,7084"
27.05.2024,960,XDR,1,СПЗ (спеціальні права запозичення),"53,0985"
27.05.2024,398,KZT,100,Теньге,"9,0527"
27.05.2024,949,TRY,1,Турецька ліра,"1,2439"
27.05.2024,348,HUF,100,Форинт,"11,2925"
27.05.2024,826,GBP,1,Фунт стерлінгів,"51,0186"
27.05.2024,203,CZK,1,Чеська крона,"1,7581"
27.05.2024,752,SEK,1,Шведська крона,"3,7493"
27.05.2024,756,CHF,1,Швейцарський франк,"43,8347"
27.05.2024,156,CNY,1,Юань Женьміньбі,"5,5380"
