ДАТА,КОД,ПОЗНАЧЕННЯ,ОБЄДНАННЯ,ВАЛЮТА,КУРС
28.02.2024,036,AUD,1,Австралійський долар,"25,1837"
28.02.2024,944,AZN,1,Азербайджанський манат,"22,6162"
28.02.2024,933,BYN,1,Білоруський рубль,"13,9666"
28.02.2024,975,BGN,1,Болгарський лев,"21,3294"
28.02.2024,410,KRW,100,Вона,"2,8862"
28.02.2024,344,HKD,1,Гонконгівський долар,"4,9109"
28.02.2024,208,DKK,1,Данська крона,"5,5959"
28.02.2024,840,USD,1,Долар США,"38,4249"
28.02.2024,978,EUR,1,Євро,"41,7179"
28.02.2024,818,EGP,1,Єгипетський фунт,"1,2434"
28.02.2024,392,JPY,10,Єна,"2,5579"
28.02.2024,985,PLN,1,Злотий,"9,6735"
28.02.2024,356,INR,10,Індійська рупія,"4,6350"
28.02.2024,124,CAD,1,Канадський долар,"28,4850"
28.02.2024,484,MXN,1,Мексиканське песо,"2,2529"
28.02.2024,498,MDL,1,Молдовський лей,"2,1587"
28.02.2024,376,ILS,1,Новий ізраїльський шекель,"10,5947"
28.02.2024,554,NZD,1,Новозеландський долар,"23,7101"
28.02.2024,578,NOK,1,Норвезька крона,"3,6503"
28.02.2024,710,ZAR,1,Ренд,"2,0108"
28.02.2024,643,RUB,10,Російський рубль,"4,1705"
28.02.2024,946,RON,1,Румунський лей,"8,3987"
28.02.2024,360,IDR,1000,Рупія,"2,4557"
28.02.2024,702,SGD,1,Сінгапурський долар,"28,6049"
28.02.2024,960,XDR,1,СПЗ (спеціальні права запозичення),"51,0579"
28.02.2024,398,KZT,100,Теньге,"8,5383"
28.02.2024,949,TRY,1,Турецька ліра,"1,2337"
28.02.2024,348,HUF,100,Форинт,"10,7000"
28.02.2024,826,GBP,1,Фунт стерлінгів,"48,7228"
28.02.2024,203,CZK,1,Чеська крона,"1,6461"
28.02.2024,752,SEK,1,Шведська крона,"3,7327"
28.02.2024,756,CHF,1,Швейцарський франк,"43,7094"
28.02.2024,156,CNY,1,Юань Женьміньбі,"5,3383"
29.02.2024,036,AUD,1,Австралійський долар,"24,8044"
29.02.2024,944,AZN,1,Азербайджанський манат,"22,4883"
29.02.2024,933,BYN,1,Білоруський рубль,"13,8876"
29.02.2024,975,BGN,1,Болгарський лев,"21,1151"
29.02.2024,410,KRW,100,Вона,"2,8630"
29.02.2024,344,HKD,1,Гонконгівський долар,"4,8815"
29.02.2024,208,DKK,1,Данська крона,"5,5400"
29.02.2024,840,USD,1,Долар США,"38,2077"
29.02.2024,978,EUR,1,Євро,"41,2968"
29.02.2024,818,EGP,1,Єгипетський фунт,"1,2379"
29.02.2024,392,JPY,10,Єна,"2,5352"
29.02.2024,985,PLN,1,Злотий,"9,6105"
29.02.2024,356,INR,10,Індійська рупія,"4,6069"
29.02.2024,124,CAD,1,Канадський долар,"28,0877"
29.02.2024,484,MXN,1,Мексиканське песо,"2,2343"
29.02.2024,498,MDL,1,Молдовський лей,"2,1472"
29.02.2024,376,ILS,1,Новий ізраїльський шекель,"10,5974"
29.02.2024,554,NZD,1,Новозеландський долар,"23,2780"
29.02.2024,578,NOK,1,Норвезька крона,"3,6005"
29.02.2024,710,ZAR,1,Ренд,"1,9855"
29.02.2024,643,RUB,10,Російський рубль,"4,1607"
29.02.2024,946,RON,1,Румунський лей,"8,3116"
29.02.2024,360,IDR,1000,Рупія,"2,4355"
29.02.2024,702,SGD,1,Сінгапурський долар,"28,3714"
29.02.2024,960,XDR,1,СПЗ (спеціальні права запозичення),"50,6729"
29.02.2024,398,KZT,100,Теньге,"8,4861"
29.02.2024,949,TRY,1,Турецька ліра,"1,2250"
29.02.2024,348,HUF,100,Форинт,"10,5290"
29.02.2024,826,GBP,1,Фунт стерлінгів,"48,2621"
29.02.2024,203,CZK,1,Чеська крона,"1,6290"
29.02.2024,752,SEK,1,Шведська крона,"3,6910"
29.02.2024,756,CHF,1,Швейцарський франк,"43,3784"
29.02.2024,156,CNY,1,Юань Женьміньбі,"5,3073"
01.03.2024,036,AUD,1,Австралійський долар,"24,6901"
01.03.2024,944,AZN,1,Азербайджанський манат,"22,3951"
01.03.2024,933,BYN,1,Білоруський рубль,"13,8300"
01.03.2024,975,BGN,1,Болгарський лев,"21,0694"
01.03.2024,410,KRW,100,Вона,"2,8561"
01.03.2024,344,HKD,1,Гонконгівський долар,"4,8612"
01.03.2024,208,DKK,1,Данська крона,"5,5279"
01.03.2024,840,USD,1,Долар США,"38,0492"
01.03.2024,978,EUR,1,Євро,"41,2035"
01.03.2024,818,EGP,1,Єгипетський фунт,"1,2318"
01.03.2024,392,JPY,10,Єна,"2,5354"
01.03.2024,985,PLN,1,Злотий,"9,5395"
01.03.2024,356,INR,10,Індійська рупія,"4,5887"
01.03.2024,124,CAD,1,Канадський долар,"27,9918"
01.03.2024,484,MXN,1,Мексиканське песо,"2,2265"
