faculty,name,url
Юридичний факультет,1. КАФЕДРА ПУБЛІЧНОГО ПРАВА,
Факультет іноземних мов,1. КАФЕДРА АНГЛІЙСЬКОЇ МОВИ,
Юридичний факультет,2. КАФЕДРА ПРИВАТНОГО ПРАВА,
Юридичний факультет,3. КАФЕДРА ПРОЦЕСУАЛЬНОГО ПРАВА,
Юридичний факультет,4. КАФЕДРА КРИМІНАЛЬНОГО ПРАВА,
Юридичний факультет,5. КАФЕДРА МІЖНАРОДНОГО ПРАВА,
Юридичний факультет,6. КАФЕДРА ТЕОРІЇ ПРАВА ТА ПРАВ ЛЮДИНИ,
Факультет іноземних мов,2. КАФЕДРА ГЕРМАНСЬКОЇ ФІЛОЛОГІЇ ТА ПЕРЕКЛАДУ,
Факультет іноземних мов,3. КАФЕДРА ІНОЗЕМНИХ МОВ ДЛЯ ГУМАНІТАРНИХ ФАКУЛЬТЕТІВ,
Факультет іноземних мов,4. КАФЕДРА ІНОЗЕМНИХ МОВ ДЛЯ ПРИРОДНИЧИХ ФАКУЛЬТЕТІВ,
Факультет іноземних мов,5. КАФЕДРА КОМУНІКАТИВНОЇ ЛІНГВІСТИКИ ТА ПЕРЕКЛАДУ,
Факультет іноземних мов,6. КАФЕДРА РОМАНСЬКОЇ ФІЛОЛОГІЇ ТА ПЕРЕКЛАДУ,
Факультет іноземних мов,7. КАФЕДРА АНГЛІЙСЬКОЇ МОВИ,
Факультет іноземних мов,8. КАФЕДРА ГЕРМАНСЬКОЇ ФІЛОЛОГІЇ ТА ПЕРЕКЛАДУ,
Факультет іноземних мов,9. КАФЕДРА ІНОЗЕМНИХ МОВ ДЛЯ ГУМАНІТАРНИХ ФАКУЛЬТЕТІВ,
Факультет іноземних мов,10. КАФЕДРА ІНОЗЕМНИХ МОВ ДЛЯ ПРИРОДНИЧИХ ФАКУЛЬТЕТІВ,
Факультет іноземних мов,11. КАФЕДРА КОМУНІКАТИВНОЇ ЛІНГВІСТИКИ ТА ПЕРЕКЛАДУ,
Факультет іноземних мов,12. КАФЕДРА РОМАНСЬКОЇ ФІЛОЛОГІЇ ТА ПЕРЕКЛАДУ,
"Факультет архітектури, будівництва та декоративно-прикладного мистецтва",1. КАФЕДРА АРХІТЕКТУРИ ТА ЗБЕРЕЖЕННЯ ОБ'ЄКТІВ ВСЕСВІТНЬОЇ СПАДЩИНИ ЮНЕСКО,
"Факультет архітектури, будівництва та декоративно-прикладного мистецтва",2. КАФЕДРА МІСТОБУДУВАННЯ ТА УРБАНІСТИКИ,
"Факультет архітектури, будівництва та декоративно-прикладного мистецтва",3. КАФЕДРА БУДІВНИЦТВА,
"Факультет архітектури, будівництва та декоративно-прикладного мистецтва",4. КАФЕДРА ДЕКОРАТИВНО-ПРИКЛАДНОГО ТА ОБРАЗОТВОРЧОГО МИСТЕЦТВА,
Факультет математики та інформатики,1. КАФЕДРА АЛГЕБРИ ТА ІНФОРМАТИКИ,
Факультет математики та інформатики,2. КАФЕДРА ДИФЕРЕНЦІАЛЬНИХ РІВНЯНЬ,
Факультет математики та інформатики,3. КАФЕДРА МАТЕМАТИЧНОГО АНАЛІЗУ,
Факультет математики та інформатики,4. КАФЕДРА МАТЕМАТИЧНОГО МОДЕЛЮВАННЯ,
Факультет математики та інформатики,5. КАФЕДРА ПРИКЛАДНОЇ МАТЕМАТИКИ ТА ІНФОРМАЦІЙНИХ ТЕХНОЛОГІЙ,
Економічний факультет,1. КАФЕДРА ЕКОНОМІКО-МАТЕМАТИЧНОГО МОДЕЛЮВАННЯ,
Економічний факультет,2. КАФЕДРА БІЗНЕСУ ТА УПРАВЛІННЯ ПЕРСОНАЛОМ,
Економічний факультет,"3. КАФЕДРА ОБЛІКУ, АНАЛІЗУ, І АУДИТУ",
Економічний факультет,4. КАФЕДРА ФІНАНСІВ І КРЕДИТУ,
Економічний факультет,"5. КАФЕДРА ЕКОНОМІЧНОЇ ТЕОРІЇ, МЕНЕДЖМЕНТУ І АДМІНІСТРУВАННЯ",
Економічний факультет,"6. КАФЕДРА МАРКЕТИНГУ, ІННОВАЦІЙ ТА РЕГІОНАЛЬНОГО РОЗВИТКУ",
Економічний факультет,7. КАФЕДРА МІЖНАРОДНОЇ ЕКОНОМІКИ,
Філологічний факультет,1. КАФЕДРА СУЧАСНОЇ УКРАЇНСЬКОЇ МОВИ,
Факультет фізичної культури та здоров'я людини,1. КАФЕДРА ТЕОРІЇ ТА МЕТОДИКИ ФІЗИЧНОГО ВИХОВАННЯ І СПОРТУ,
Філологічний факультет,2. КАФЕДРА РУМУНСЬКОЇ ТА КЛАСИЧНОЇ ФІЛОЛОГІЇ,
Філологічний факультет,3. КАФЕДРА ІСТОРІЇ ТА КУЛЬТУРИ УКРАЇНСЬКОЇ МОВИ,
Філологічний факультет,4. КАФЕДРА УКРАЇНСЬКОЇ ЛІТЕРАТУРИ,
Філологічний факультет,5. КАФЕДРА ЖУРНАЛІСТИКИ,
Філологічний факультет,6. КАФЕДРА ЗАРУБІЖНОЇ ЛІТЕРАТУРИ ТА ТЕОРІЇ ЛІТЕРАТУРИ,
Філологічний факультет,7. КАФЕДРА ФІЛОСОФІЇ ТА КУЛЬТУРОЛОГІЇ,
Філологічний факультет,8. КАФЕДРА СУЧАСНОЇ УКРАЇНСЬКОЇ МОВИ,
Факультет фізичної культури та здоров'я людини,2. КАФЕДРА ФІЗИЧНОЇ КУЛЬТУРИ ТА ОСНОВ ЗДОРОВ’Я,
Факультет фізичної культури та здоров'я людини,"3. КАФЕДРА ФІЗИЧНОЇ РЕАБІЛІТАЦІЇ, ЕРГОТЕРАПІЇ ТА ДОМЕДИЧНОЇ ДОПОМОГИ",
Факультет фізичної культури та здоров'я людини,4. КАФЕДРА ФІЗИЧНОГО ВИХОВАННЯ,
Факультет фізичної культури та здоров'я людини,5. КАФЕДРА ВІЙСЬКОВОЇ ПІДГОТОВКИ,
Філологічний факультет,9. КАФЕДРА РУМУНСЬКОЇ ТА КЛАСИЧНОЇ ФІЛОЛОГІЇ,
Філологічний факультет,10. КАФЕДРА ІСТОРІЇ ТА КУЛЬТУРИ УКРАЇНСЬКОЇ МОВИ,
Філологічний факультет,11. КАФЕДРА УКРАЇНСЬКОЇ ЛІТЕРАТУРИ,
Філологічний факультет,12. КАФЕДРА ЖУРНАЛІСТИКИ,
Філологічний факультет,13. КАФЕДРА ЗАРУБІЖНОЇ ЛІТЕРАТУРИ ТА ТЕОРІЇ ЛІТЕРАТУРИ,
Філологічний факультет,14. КАФЕДРА ФІЛОСОФІЇ ТА КУЛЬТУРОЛОГІЇ,
