name,faculty,faculty_image_url,faculty_link
"Навчально-науковий інститут біології, хімії та біоресурсів","Навчально-науковий інститут біології, хімії та біоресурсів",https://www.chnu.edu.ua/media/4wye3aag/ibhb_logo.png?width=100&height=100&format=webp&quality=80,http://ibhb.chnu.edu.ua/
Навчально-науковий інститут фізико-технічних та комп’ютерних наук,Навчально-науковий інститут фізико-технічних та комп’ютерних наук,https://www.chnu.edu.ua/media/l4gcmu4u/iftkn_logo.png?width=100&height=100&format=webp&quality=80,http://ptcsi.chnu.edu.ua/
"Факультет архітектури, будівництва та декоративно-прикладного мистецтва","Факультет архітектури, будівництва та декоративно-прикладного мистецтва",https://www.chnu.edu.ua/media/nxhaqyzm/abdpm_logo.png?width=100&height=100&format=webp&quality=80,https://fabdpm.chnu.edu.ua/
Географічний факультет,Географічний факультет,https://www.chnu.edu.ua/media/51kncesm/geo_logo.png?width=100&height=100&format=webp&quality=80,http://geo.chnu.edu.ua/index.php?page=ua
Економічний факультет,Економічний факультет,https://www.chnu.edu.ua/media/nibp1nyk/eco_logo.png?width=100&height=100&format=webp&quality=80,https://econom.chnu.edu.ua/
Факультет іноземних мов,Факультет іноземних мов,https://www.chnu.edu.ua/media/vrbgqnyb/inozem_logo.png?width=100&height=100&format=webp&quality=80,https://mel.chnu.edu.ua/
"Факультет історії, політології та міжнародних відносин","Факультет історії, політології та міжнародних відносин",https://www.chnu.edu.ua/media/c2iiaakk/hist_logo.png?width=100&height=100&format=webp&quality=80,http://history.chnu.edu.ua/index.php?page=ua
Факультет математики та інформатики,Факультет математики та інформатики,https://www.chnu.edu.ua/media/uouk5oqf/fmi_logo.png?width=100&height=100&format=webp&quality=80,https://fmi.chnu.edu.ua/
"Факультет педагогіки,  психології та соціальної роботи","Факультет педагогіки,  психології та соціальної роботи",https://www.chnu.edu.ua/media/o0hh42p3/ped_logo.png?width=100&height=100&format=webp&quality=80,https://ped.chnu.edu.ua/
Факультет фізичної культури та здоров'я людини,Факультет фізичної культури та здоров'я людини,https://www.chnu.edu.ua/media/gmolz4oy/fizkkult_logo.png?width=100&height=100&format=webp&quality=80,http://fizkult.chnu.edu.ua/
Філологічний факультет,Філологічний факультет,https://www.chnu.edu.ua/media/5frfvrqy/filolohichnyi-fakultet.png?width=100&height=100&format=webp&quality=80,http://philology.chnu.edu.ua/
Юридичний факультет,Юридичний факультет,https://www.chnu.edu.ua/media/y4ygfd12/zavantazhennia.png?width=100&height=100&format=webp&quality=80,https://law.chnu.edu.ua/
Відокремлений структурний підрозділ «Фаховий коледж Чернівецького національного університету імені Юрія Федьковича»,Відокремлений структурний підрозділ «Фаховий коледж Чернівецького національного університету імені Юрія Федьковича»,https://www.chnu.edu.ua/media/ijvlspft/college-chnu.png?width=100&height=100&format=webp&quality=80,http://college-chnu.cv.ua/
Кафедра публічного права,Юридичний факультет,,
Кафедра приватного права,Юридичний факультет,,
Кафедра процесуального права,Юридичний факультет,,
Кафедра кримінального права,Юридичний факультет,,
Кафедра міжнародного права,Юридичний факультет,,
Кафедра теорії права та прав людини,Юридичний факультет,,
Кафедра алгебри та інформатики,Факультет математики та інформатики,,
Кафедра диференціальних рівнянь,Факультет математики та інформатики,,
Кафедра математичного аналізу,Факультет математики та інформатики,,
Кафедра математичного моделювання,Факультет математики та інформатики,,
Кафедра прикладної математики та інформаційних технологій,Факультет математики та інформатики,,
Кафедра англійської мови,Факультет іноземних мов,,
Кафедра архітектури та збереження об'єктів Всесвітньої спадщини ЮНЕСКО,"Факультет архітектури, будівництва та декоративно-прикладного мистецтва",,
Кафедра германської філології та перекладу,Факультет іноземних мов,,
Кафедра іноземних мов для гуманітарних факультетів,Факультет іноземних мов,,
Кафедра іноземних мов для природничих факультетів,Факультет іноземних мов,,
Кафедра комунікативної лінгвістики та перекладу,Факультет іноземних мов,,
Кафедра романської філології та перекладу,Факультет іноземних мов,,
Кафедра англійської мови,Факультет іноземних мов,,
Кафедра германської філології та перекладу,Факультет іноземних мов,,
Кафедра іноземних мов для гуманітарних факультетів,Факультет іноземних мов,,
Кафедра іноземних мов для природничих факультетів,Факультет іноземних мов,,
Кафедра комунікативної лінгвістики та перекладу,Факультет іноземних мов,,
Кафедра романської філології та перекладу,Факультет іноземних мов,,
