Model,Image URL,Shop,City,Price
"Samsung QE-55Q80C 55 """,https://s.ek.ua/jpg/2405678.jpg,Samsung Experience Store  ,,46999
"Samsung QE-55Q80C 55 """,https://s.ek.ua/jpg/2405678.jpg,Openshop.ua (з Києва) →,з Києва,27753
"Samsung QE-55Q80C 55 """,https://s.ek.ua/jpg/2405678.jpg,FOXTROT.UA (Ужгород) →,Ужгород,46999
"Samsung QE-55Q80C 55 """,https://s.ek.ua/jpg/2405678.jpg,Moyo.ua (Ужгород) →,Ужгород,46999
"Samsung QE-55Q80C 55 """,https://s.ek.ua/jpg/2405678.jpg,Telebym.com (з Дніпра) →,з Дніпра,39999
"Samsung QE-55Q80C 55 """,https://s.ek.ua/jpg/2405678.jpg,Teliki.com (з Запоріжжя) →,з Запоріжжя,39999
"Samsung QE-55Q80C 55 """,https://s.ek.ua/jpg/2405678.jpg,PermyCo (з Києва) →,з Києва,29699
"Philips 55PUS8818 55 """,https://s.ek.ua/jpg/2475154.jpg,Openshop.ua (з Києва) →,з Києва,33431
"Philips 55PUS8818 55 """,https://s.ek.ua/jpg/2475154.jpg,FOXTROT.UA (Ужгород) →,Ужгород,36999
"Philips 55PUS8818 55 """,https://s.ek.ua/jpg/2475154.jpg,PermyCo (з Києва) →,з Києва,33499
"Philips 55PUS8818 55 """,https://s.ek.ua/jpg/2475154.jpg,АЛЛО (Ужгород) →,Ужгород,36999
"Philips 55PUS8818 55 """,https://s.ek.ua/jpg/2475154.jpg,TTT.ua (з Києва) →,з Києва,36999
"Philips 55PUS8818 55 """,https://s.ek.ua/jpg/2475154.jpg,ШО (з Києва) →,з Києва,34822
"Philips 55PUS8818 55 """,https://s.ek.ua/jpg/2475154.jpg,Denika.ua (з Харкова) →,з Харкова,34884
"Samsung QE-43Q60C 43 """,https://s.ek.ua/jpg/2403374.jpg,Samsung Experience Store  ,,25999
"Samsung QE-43Q60C 43 """,https://s.ek.ua/jpg/2403374.jpg,Openshop.ua (з Києва) →,з Києва,25999
"Samsung QE-43Q60C 43 """,https://s.ek.ua/jpg/2403374.jpg,FOXTROT.UA (Ужгород) →,Ужгород,25999
"Samsung QE-43Q60C 43 """,https://s.ek.ua/jpg/2403374.jpg,Click.ua (з Києва) →,з Києва,25999
"Samsung QE-43Q60C 43 """,https://s.ek.ua/jpg/2403374.jpg,Moyo.ua (Ужгород) →,Ужгород,25999
"Samsung QE-43Q60C 43 """,https://s.ek.ua/jpg/2403374.jpg,Telebym.com (з Дніпра) →,з Дніпра,16200
"Samsung QE-43Q60C 43 """,https://s.ek.ua/jpg/2403374.jpg,Teliki.com (з Запоріжжя) →,з Запоріжжя,16200
"Sony XR-55X90L 55 """,https://s.ek.ua/jpg/2515952.jpg,PermyCo (з Києва) →,з Києва,49299
"Sony XR-55X90L 55 """,https://s.ek.ua/jpg/2515952.jpg,Denika.ua (з Харкова) →,з Харкова,48033
"Sony XR-55X90L 55 """,https://s.ek.ua/jpg/2515952.jpg,Davi.com.ua (з Києва) →,з Києва,48800
"Sony XR-55X90L 55 """,https://s.ek.ua/jpg/2515952.jpg,I-sklad.com.ua (з Києва) →,з Києва,56800
"Sony XR-55X90L 55 """,https://s.ek.ua/jpg/2515952.jpg,Foroom.com.ua (з Києва) ,з Києва,48324
"Sony XR-55X90L 55 """,https://s.ek.ua/jpg/2515952.jpg,Hi-tech.com.ua (з Києва) →,з Києва,44490
"Sony XR-55X90L 55 """,https://s.ek.ua/jpg/2515952.jpg,Smartmag.biz.ua (Ужгород) ,Ужгород,46624
"Xiaomi Mi TV A2 43 43 """,https://s.ek.ua/jpg/2353035.jpg,АЛЛО (Ужгород) →,Ужгород,11999
"Xiaomi Mi TV A2 43 43 """,https://s.ek.ua/jpg/2353035.jpg,Touch (з Дніпра) →,з Дніпра,13799
"Xiaomi Mi TV A2 43 43 """,https://s.ek.ua/jpg/2353035.jpg,Denika.ua (з Харкова) →,з Харкова,13999
"Xiaomi Mi TV A2 43 43 """,https://s.ek.ua/jpg/2353035.jpg,Mobileplanet.ua (з Одеси) ,з Одеси,12650
"Xiaomi Mi TV A2 43 43 """,https://s.ek.ua/jpg/2353035.jpg,Luxmedia.com.ua (з Луцька) ,з Луцька,16299
"Xiaomi Mi TV A2 43 43 """,https://s.ek.ua/jpg/2353035.jpg,Tehnoexpert.com.ua (з Львова) ,з Львова,15262
"Xiaomi Mi TV A2 43 43 """,https://s.ek.ua/jpg/2353035.jpg,Rozetka.ua (з Києва) →,з Києва,15333
"TCL 55C745 55 """,https://s.ek.ua/jpg/2439796.jpg,Openshop.ua (з Києва) →,з Києва,30001
"TCL 55C745 55 """,https://s.ek.ua/jpg/2439796.jpg,FOXTROT.UA (Ужгород) →,Ужгород,34999
"TCL 55C745 55 """,https://s.ek.ua/jpg/2439796.jpg,АЛЛО (Ужгород) →,Ужгород,34999
"TCL 55C745 55 """,https://s.ek.ua/jpg/2439796.jpg,PermyCo (з Києва) →,з Києва,26049
"TCL 55C745 55 """,https://s.ek.ua/jpg/2439796.jpg,Denika.ua (з Харкова) →,з Харкова,27949
"TCL 55C745 55 """,https://s.ek.ua/jpg/2439796.jpg,Davi.com.ua (з Києва) →,з Києва,30000
"TCL 55C745 55 """,https://s.ek.ua/jpg/2439796.jpg,I-sklad.com.ua (з Києва) →,з Києва,20540
"TCL 43C645 43 """,https://s.ek.ua/jpg/2421608.jpg,Openshop.ua (з Києва) →,з Києва,13687
"TCL 43C645 43 """,https://s.ek.ua/jpg/2421608.jpg,FOXTROT.UA (Ужгород) →,Ужгород,16999
"TCL 43C645 43 """,https://s.ek.ua/jpg/2421608.jpg,Telebym.com (з Дніпра) →,з Дніпра,17496
"TCL 43C645 43 """,https://s.ek.ua/jpg/2421608.jpg,Teliki.com (з Запоріжжя) →,з Запоріжжя,17496
"TCL 43C645 43 """,https://s.ek.ua/jpg/2421608.jpg,АЛЛО (Ужгород) →,Ужгород,16999
"TCL 43C645 43 """,https://s.ek.ua/jpg/2421608.jpg,PermyCo (з Києва) →,з Києва,13049
"TCL 43C645 43 """,https://s.ek.ua/jpg/2421608.jpg,Denika.ua (з Харкова) →,з Харкова,13185
"Xiaomi Mi TV A Pro 43 43 """,https://s.ek.ua/jpg/2616922.jpg,FOXTROT.UA (Ужгород) →,Ужгород,13999
"Xiaomi Mi TV A Pro 43 43 """,https://s.ek.ua/jpg/2616922.jpg,АЛЛО (Ужгород) →,Ужгород,13999
"Xiaomi Mi TV A Pro 43 43 """,https://s.ek.ua/jpg/2616922.jpg,Click.ua (з Києва) →,з Києва,12499
"Xiaomi Mi TV A Pro 43 43 """,https://s.ek.ua/jpg/2616922.jpg,ШО (з Києва) →,з Києва,12499
"Xiaomi Mi TV A Pro 43 43 """,https://s.ek.ua/jpg/2616922.jpg,Denika.ua (з Харкова) →,з Харкова,12931
"Xiaomi Mi TV A Pro 43 43 """,https://s.ek.ua/jpg/2616922.jpg,Stylus.ua (з Києва) →,з Києва,13610
"Xiaomi Mi TV A Pro 43 43 """,https://s.ek.ua/jpg/2616922.jpg,Цифра (з Києва) →,з Києва,12599
"Samsung UE-55CU7172 55 """,https://s.ek.ua/jpg/2408668.jpg,Openshop.ua (з Києва) →,з Києва,17349
"Samsung UE-55CU7172 55 """,https://s.ek.ua/jpg/2408668.jpg,Touch (з Дніпра) →,з Дніпра,16359
"Samsung UE-55CU7172 55 """,https://s.ek.ua/jpg/2408668.jpg,PermyCo (з Києва) →,з Києва,15898
"Samsung UE-55CU7172 55 """,https://s.ek.ua/jpg/2408668.jpg,5ok.net.ua (з Харкова) →,з Харкова,15999
"Samsung UE-55CU7172 55 """,https://s.ek.ua/jpg/2408668.jpg,Denika.ua (з Харкова) →,з Харкова,16799
"Samsung UE-55CU7172 55 """,https://s.ek.ua/jpg/2408668.jpg,Davi.com.ua (з Києва) →,з Києва,16200
"Samsung UE-55CU7172 55 """,https://s.ek.ua/jpg/2408668.jpg,I-sklad.com.ua (з Києва) →,з Києва,14500
"TCL 55C805 55 """,https://s.ek.ua/jpg/2538157.jpg,Openshop.ua (з Києва) →,з Києва,30890
"TCL 55C805 55 """,https://s.ek.ua/jpg/2538157.jpg,FOXTROT.UA (Ужгород) →,Ужгород,36999
"TCL 55C805 55 """,https://s.ek.ua/jpg/2538157.jpg,PermyCo (з Києва) →,з Києва,28849
"TCL 55C805 55 """,https://s.ek.ua/jpg/2538157.jpg,АЛЛО (Ужгород) →,Ужгород,36999
"TCL 55C805 55 """,https://s.ek.ua/jpg/2538157.jpg,Denika.ua (з Харкова) →,з Харкова,29847
"TCL 55C805 55 """,https://s.ek.ua/jpg/2538157.jpg,Davi.com.ua (з Києва) →,з Києва,33800
"TCL 55C805 55 """,https://s.ek.ua/jpg/2538157.jpg,Foroom.com.ua (з Києва) ,з Києва,29190
"Setup 32HTF30 32 """,https://s.ek.ua/jpg/2485529.jpg,Openshop.ua (з Києва) →,з Києва,4400
"Setup 32HTF30 32 """,https://s.ek.ua/jpg/2485529.jpg,Denika.ua (з Харкова) →,з Харкова,4223
"Setup 32HTF30 32 """,https://s.ek.ua/jpg/2485529.jpg,Цифра (з Києва) →,з Києва,4134
"Setup 32HTF30 32 """,https://s.ek.ua/jpg/2485529.jpg,Stylus.ua (з Києва) →,з Києва,4134
"Setup 32HTF30 32 """,https://s.ek.ua/jpg/2485529.jpg,Comtrading.ua (з Києва) →,з Києва,4499
"Setup 32HTF30 32 """,https://s.ek.ua/jpg/2485529.jpg,Tehno-mart.com.ua (з Києва) ,з Києва,4390
"Setup 32HTF30 32 """,https://s.ek.ua/jpg/2485529.jpg,Setevuha.ua (з Києва) →,з Києва,4499
"LG OLED55C3 55 """,https://s.ek.ua/jpg/2421027.jpg,Openshop.ua (з Києва) →,з Києва,47548
"LG OLED55C3 55 """,https://s.ek.ua/jpg/2421027.jpg,FOXTROT.UA (Ужгород) →,Ужгород,67999
"LG OLED55C3 55 """,https://s.ek.ua/jpg/2421027.jpg,Moyo.ua (Ужгород) →,Ужгород,67999
"LG OLED55C3 55 """,https://s.ek.ua/jpg/2421027.jpg,Telebym.com (з Дніпра) →,з Дніпра,46699
"LG OLED55C3 55 """,https://s.ek.ua/jpg/2421027.jpg,Teliki.com (з Запоріжжя) →,з Запоріжжя,46699
